Company,Website,City,Industry,Evidence Link,Notes (benefits/wellness/alt-therapy openness)
Axcelis Technologies,https://www.axcelis.com/,Beverly,Semiconductors,https://www.axcelis.com/careers/benefits/,Summary shows medical, dental, FSA, PTO, 401(k), ESPP; strong total rewards. Medical plans + FSA typically support complementary care like chiro/acupuncture per plan; good candidate for on-site/nearby wellness partnerships.
Beth Israel Lahey Health (Beverly Hospital),https://beverlyhospital.org/,Beverly,Healthcare,https://jobs.bilh.org/benefits,Comprehensive healthcare and wellness resources as part of BILH system; hospital networks often offer EAP, wellness incentives, and integrative care options; strong alignment with employee wellness initiatives.
Endicott College,https://www.endicott.edu/,Beverly,Higher Education,https://www.endicott.edu/about/key-offices-departments/human-resources/employee-benefits,Official HR benefits page; robust benefits and beautiful campus amenities; colleges commonly include wellness programs and flexible spending accounts; likely receptive to holistic wellness partnerships for staff/faculty.
Montserrat College of Art,https://www.montserrat.edu/,Beverly,Higher Education/Arts,https://www.montserrat.edu/careers/,Local college with employee roles; careers/HR indicate standard benefits; small, community-oriented employer may value local wellness partners; confirm specifics with HR.
Harmonic Drive LLC,https://www.harmonicdrive.net/,Beverly,Industrial/Robotics,https://www.harmonicdrive.net/careers,Engineering/manufacturing HQ at 42 Dunham Ridge; careers page implies competitive benefits; tech manufacturers often include comprehensive medical + wellness/EAP; proximity makes on-site programs feasible.
Cell Signaling Technology (CST),https://www.cellsignal.com/,Danvers (5 mi),Biotechnology,https://careers.cellsignal.com/benefits/,Benefits page highlights exceptional benefits, ERGs, and wellness/balance programs; values sustainability and people; strong cultural fit for holistic wellness offerings.
Medtronic (Danvers site),https://www.medtronic.com/,Danvers (5 mi),Medical Devices,https://www.medtronic.com/us-en/about/careers/culture/compensation-benefits.html,Global medtech with robust U.S. benefits, wellness programs, mental health resources; typically includes HSAs/FSAs and broad medical coverage; strong potential partner for employee wellness.
Abiomed (a Johnson & Johnson MedTech company),https://www.abiomed.com/,Danvers (5 mi),Medical Devices,https://www.abiomed.com/en-us/careers/life-at-abiomed,Life-at-Abiomed and J&J benefits indicate strong health & wellness support; culture emphasizes innovation and employee well-being; likely to support complementary care through medical plans or stipends.
EBSCO Information Services,https://www.ebsco.com/,Ipswich (8 mi),Information Services/Software,https://www.ebsco.com/careers/benefits,Global HQ nearby; careers/benefits indicate comprehensive medical, mental health resources, Teladoc, and wellness; knowledge-worker profile receptive to preventive/holistic offerings.
New England Biolabs (NEB),https://www.neb.com/,Ipswich (8 mi),Biotechnology,https://www.neb.com/en-us/about-neb/careers,Renowned employer with campus-like HQ and strong culture; career pages and public materials indicate robust benefits and community wellness orientation; strong alignment with science-forward, holistic wellness partnerships.
